,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-05 16:00:00,24511,1225.115034,16,1,112,-526.4889599999999,1080.0,1357753.3858054075,120.06606683793137,175.1676285338567
2022-01-05 17:00:00,26424,326.68360399999995,17,1,113,-898.43143,1913.0,126186.58896037191,70.33663874777244,226.81549137406842
2022-01-05 18:00:00,28093,234.54854199999997,18,1,114,-92.13506199999998,1669.0,-292386.7711264659,-14.057505724112445,52.11445459215997
2022-01-05 19:00:00,28085,146.499856,19,1,115,-88.04868599999998,-8.0,-482345.48631090205,-90.09748349602978,-105.47430715875976
2022-01-05 20:00:00,27561,64.17152399999999,20,1,116,-82.328332,-524.0,-370690.7416367866,-44.656649639338696,-127.62854857799812
2022-01-05 21:00:00,26751,42.032024,21,1,117,-22.13949999999999,-810.0,-434502.42541848775,-17.682118214040713,-50.39599073963177
2022-01-05 22:00:00,25629,48.848508,22,1,118,6.816484000000003,-1122.0,-678969.5628708163,-29.855167479131296,-68.43950617952305
2022-01-05 23:00:00,24074,35.78294,23,1,119,-13.065567999999999,-1555.0,-154202.10675062053,12.18108690999668,4.413000788549198
2022-01-06 00:00:00,22723,25.96834,0,1,120,-9.814600000000002,-1351.0,106340.6400459446,46.54798459545316,103.49835273107783
2022-01-06 01:00:00,21913,23.295794,1,1,121,-2.6725460000000005,-810.0,523945.0281669004,50.66868880232005,174.02871109358557
2022-01-06 02:00:00,21287,21.761916000000003,2,1,122,-1.5338779999999979,-626.0,293822.48814376444,24.969015350732093,108.10159645213525
2022-01-06 03:00:00,20983,25.098558,3,1,123,3.3366419999999977,-304.0,199612.37828461826,58.56631803865247,72.85224565209137
2022-01-06 04:00:00,21065,26.589138,4,1,124,1.4905799999999978,82.0,334428.9538428746,19.055755505191655,30.28766256125914
2022-01-06 05:00:00,21689,31.322916,5,1,125,4.733778000000001,624.0,569287.6264183884,-17.55841423927461,70.93109498661693
2022-01-06 06:00:00,23102,29.503477999999998,6,1,126,-1.8194380000000017,1413.0,405725.82799067814,-23.89215079032789,-402.24543388369716
2022-01-06 07:00:00,25029,33.550748,7,1,127,4.047270000000001,1927.0,-484709.3204227807,-95.03082022854221,-199.7239205605697
2022-01-06 08:00:00,25922,301.313404,8,1,128,267.762656,893.0,-1029205.1475083958,-38.458928047446136,-92.10386336589988
2022-01-06 09:00:00,25519,1018.071132,9,1,129,716.757728,-403.0,-1028042.5716752075,-15.745568089018604,-117.36246977713483
2022-01-06 10:00:00,24786,1466.639114,10,1,130,448.56798200000003,-733.0,-472410.21094418876,64.06809034657533,-39.32223872539794
2022-01-06 11:00:00,24070,1671.70344,11,1,131,205.06432599999994,-716.0,-179763.0631897729,223.02022643186416,21.17104632277119
2022-01-06 12:00:00,23727,1695.833224,12,1,132,24.129783999999972,-343.0,183869.83085282193,-242.83733242550994,112.3120645258706
2022-01-06 13:00:00,23507,1702.46985,13,1,133,6.636625999999978,-220.0,-37200.05010005273,-16.849282890303243,17.031610480018344
