,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-09 23:00:00,39736.861675,15350.33,23,1,215,-890.8999999999996,-1214.7105749999973,-1019067.5785402022,-423.5019016062797,1024.472201324268
2022-01-10 00:00:00,39214.0677,14760.73,0,1,216,-589.6000000000004,-522.7939750000005,-317968.6573194973,203.57127518824927,225.10375271723024
2022-01-10 01:00:00,39320.739275,14377.94,1,1,217,-382.78999999999905,106.6715750000003,317915.1587462574,-178.17875719668154,-822.4551453588974
2022-01-10 02:00:00,39759.595700000005,14041.7,2,1,218,-336.2399999999998,438.8564250000054,430499.7946663536,673.2664153158203,-648.0525441972422
2022-01-10 03:00:00,40836.0104,13753.67,3,1,219,-288.03000000000065,1076.414699999994,946623.7121840827,995.12406967274,493.6696950082587
2022-01-10 04:00:00,43298.89845,11785.47,4,1,220,-1968.2000000000007,2462.8880500000014,2543037.9306925125,-710.8780085912495,2354.552057900106
2022-01-10 05:00:00,47383.104175,11331.95,5,1,221,-453.5199999999986,4084.205725,2903799.962477371,1135.1066897625278,-3039.7081612973816
2022-01-10 06:00:00,50694.383775,11091.13,6,1,222,-240.82000000000153,3311.2796000000017,3219197.3944334537,384.75479207874196,940.9595475661117
2022-01-10 07:00:00,51228.6341,9481.44,7,1,223,-1609.6899999999987,534.2503250000009,4098833.9726100117,1552.0074159459818,2192.3865934970054
2022-01-10 08:00:00,50211.513975,8968.86,8,1,224,-512.5799999999999,-1017.1201250000013,-268796.2330258414,268.03093266800533,512.7267165480516
2022-01-10 09:00:00,48843.8623,9401.28,9,1,225,432.4200000000001,-1367.651675000001,-983823.0886138603,182.91731085820174,177.9521621551139
2022-01-10 10:00:00,47136.087225,9167.31,10,1,226,-233.97000000000116,-1707.7750749999977,-997882.1081169322,-1708.927382204607,-324.8839033888653
2022-01-10 11:00:00,45494.53485,9395.89,11,1,227,228.57999999999993,-1641.5523750000066,-1360872.585651286,-68.62656185144988,805.8559218962
2022-01-10 12:00:00,44140.66765,8721.85,12,1,228,-674.039999999999,-1353.8671999999933,-707676.0757664144,502.79783124663845,-813.406203983468
2022-01-10 13:00:00,42923.96385,8586.380000000001,13,1,229,-135.46999999999935,-1216.703800000003,-897830.5975692272,-487.2762364368282,-852.3779133816097
2022-01-10 14:00:00,42011.8483,8716.14,14,1,230,129.7599999999984,-912.1155500000023,-1602161.8469942883,-605.0250098385695,-1461.59263357678
2022-01-10 15:00:00,42339.312175,7525.67,15,1,231,-1190.4699999999993,327.4638750000013,684418.6446661577,276.0692779114397,114.79036366819855
2022-01-10 16:00:00,44008.268225,5778.37,16,1,232,-1747.3000000000002,1668.9560500000007,1353777.4493580163,-336.9148725335035,1089.7322438720585
2022-01-10 17:00:00,47074.147475,3170.55,17,1,233,-2607.8199999999997,3065.879249999998,2867038.5457291156,931.1217220787694,640.464242885897
2022-01-10 18:00:00,47854.805975,3290.0,18,1,234,119.44999999999982,780.658500000005,2109036.7325485274,546.5439663049383,968.523511309133
2022-01-10 19:00:00,47883.135425,4593.46,19,1,235,1303.46,28.32944999999745,-1118814.1372588798,-84.04416207572285,992.69200908325
2022-01-10 20:00:00,47256.696925,5272.66,20,1,236,679.1999999999998,-626.4385000000038,-504191.9793160409,398.74901322772166,437.28398643675246
2022-01-10 21:00:00,45603.4336,5895.77,21,1,237,623.1100000000006,-1653.263325,-1045530.41285,-623.756131615999,-950.1192043520023
2022-01-10 22:00:00,43927.009125,6269.39,22,1,238,373.6199999999999,-1676.4244749999998,-1437621.6249449998,-993.5750201162482,-323.89930074677613
2022-01-10 23:00:00,42787.8659,6917.83,23,1,239,648.4399999999996,-1139.1432249999998,-2286384.190828599,-790.2870222030524,-430.3880124992138
2022-01-11 00:00:00,42434.3646,7505.98,0,1,240,588.1499999999996,-353.50129999999626,-1555479.2608907,-663.9260802395274,1028.3352969146254
2022-01-11 01:00:00,42562.352225,9079.59,1,1,241,1573.6100000000006,127.98762500000157,-1434981.940902993,-372.38442451997616,-834.0632113678112
2022-01-11 02:00:00,43127.7565,9916.51,2,1,242,836.9200000000001,565.4042750000008,-733954.5308604091,-443.8924203674633,-1157.1656348972137
2022-01-11 03:00:00,44009.63575,10437.79,3,1,243,521.2800000000007,881.8792499999981,49206.303721383214,200.09643095547472,533.179900900439
2022-01-11 04:00:00,46417.12565,10032.67,4,1,244,-405.1200000000008,2407.4899000000005,867317.7823914066,304.05528253202647,3884.3795847998663
2022-01-11 05:00:00,50267.230800000005,9855.679999999998,5,1,245,-176.9900000000016,3850.105150000003,3509266.468867518,1009.5624453582477,-430.8832373039004
2022-01-11 06:00:00,52979.99025,10226.96,6,1,246,371.28000000000065,2712.7594499999977,2826058.0008181855,547.6781642654387,136.82050299440016
2022-01-11 07:00:00,52610.66925,10758.41,7,1,247,531.4500000000007,-369.32100000000355,1345486.369414337,290.96093872676283,-657.8681511050636
2022-01-11 08:00:00,50909.5752,11015.11,8,1,248,256.7000000000007,-1701.0940499999997,-391021.04573296756,9.94023003640541,1440.733325857418
2022-01-11 09:00:00,49068.3522,11575.46,9,1,249,560.3499999999985,-1841.2229999999981,-1997505.8206910118,810.065059683513,-6.363598818858009
2022-01-11 10:00:00,47694.592425,12560.570000000002,10,1,250,985.1100000000024,-1373.7597749999986,-2204019.7784439623,-419.18887872171945,586.0962410659959
2022-01-11 11:00:00,46487.32715,15049.48,11,1,251,2488.909999999998,-1207.2652750000052,-2805255.429744154,-1885.0741063113255,-2063.8008949917894
